ID,Date,Title,Content no HTML,Topics,Regions,Events,Persons / Groups,Places,Themes,Post Type,Status 
43591,2017-10-19,Quebec adopts neutrality law banning face coverings in public service,"On Wednesday, the Canadian province of Quebec adopted a religious neutrality law banning face-covering garments when providing or receiving public services. The law applies to doctors, teachers, childcare providers and public transit employees, and those receiving services from them. The law does allow for individuals to request exemptions. Bill 62 was adopted by a 65 – 51 vote in Quebec's National Assembly. The law also prohibits childcare providers who receive provincial subsidies from offering religious education.
Bill 62 does not mention any particular faiths, and the government says it is meant to include all types of face coverings. France and Belgium have previously banned Islamic veils in public.
Sources: BBC, CBC",The Facts,,garment ban|shooting|testimony|travel ban,Donald Trump|Jeff Sessions|Massoud Barzani,Canada|Hawaii|Iraq|Maryland|Middle East|Quebec|US,equality|gun violence,world_news,publish
43597,2017-10-20,"New Zealand gets new coalition government, prime minister","Labour Party leader Jacinda Ardern will become New Zealand’s next prime minister, after the New Zealand First party announced on Thursday it would support a new coalition government with the Labour and Green parties. During the Sept. 23 election, Labour won 46 of parliament’s 120 seats, New Zealand First won nine and the Green Party won eight. Current Prime Minister Bill English’s National Party won 56 seats. 
The Associated Press reported Ardern, 37, supports increased spending on healthcare and education, removing pollution from waterways, limits on immigration, building more affordable housing and banning foreign investment speculators from buying homes.
Sources: AP, CNN",The Facts,,,Carles Puigdemont|Hamas|Jacinda Ardern|Mariano Rajoy|Nicolas Maduro|Taliban,Afghanistan|Catalonia|Europe|Latin America|Middle East|New Zealand|Spain|Venezuela,autonomy|independence|Islam|war,world_news,publish
43600,2017-10-20,Venezuela swears in 18 of 23 new governors; opposition boycotts,"On Wednesday, Venezuela’s Constituent Assembly swore in 18 of 23 governors elected in Sunday’s regional elections. The 18 governors were all from the ruling United Socialist Party. The five other elected governors, from the opposition party Roundtable for Democracy, boycotted the event and were not sworn in. BBC reported that the five governors consider the Assembly illegitimate, and have said they do not recognize its authority. President Nicolás Maduro said that governors who are not sworn in by the Assembly would not be allowed to take up their posts.
The Constituent Assembly is a temporary parliament that has the mandate to draft or reform the Constitution. The opposition views the Assembly as a way for Maduro to extend his power by allowing it to overrule the executive and legislative bodies, according to BBC. The opposition parties allege there were voting irregularities and ballot-tampering during the election. The opposition has not provided any evidence to support its claim, according to Reuters. Polls taken before the election showed the opposition ahead, Reuters reported.

Sources: Reuters, BBC",Elections|Law &amp; Justice|The Facts|World,Latin America,,Nicolas Maduro,Venezuela,constitution,world_news,publish
43603,2017-10-20,"Afghanistan: 3 attacks on army camp, police posts kill at least 58; Taliban claims responsibility","Three attacks on an army camp and police posts killed at least 58 police officers and soldiers on Wednesday in Afghanistan, officials announced on Thursday. The Taliban claimed responsibility for the attacks. It was the second day of suicide attacks in Afghanistan claimed by the Taliban. Tuesday’s attacks killed at least 74 civilians and police officers, Afghan officials said.
The Wednesday attack on the army camp in the southern province of Kandahar was carried out by two suicide car bombers in a Humvee. The attack killed 43 soldiers, wounded nine and left six unaccounted for. An ambush in the northern province of Balkh late Wednesday killed six police officers and a separate attack on a police post in western Farah province killed nine. In the latter attack, 22 Taliban fighters were killed during an ensuing exchange of gunfire.
U.S. and NATO forces had been fighting the Taliban until they concluded their combat mission in Afghanistan in 2014. The Taliban has since campaigned to reimpose its version of Islamic rule on the country.
Sources: AP, BBC",The Facts,,,Carles Puigdemont|Hamas|Jacinda Ardern|Mariano Rajoy|Nicolas Maduro|Taliban,Afghanistan|Catalonia|Europe|Latin America|Middle East|New Zealand|Spain|Venezuela,autonomy|independence|Islam|war,world_news,publish
43608,2017-10-20,Hamas ‘rejects’ US request to disarm,"On Thursday, the U.S. special envoy for the Middle East, Jason Greenblatt, said, “Any Palestinian government must unambiguously and explicitly commit to nonviolence, recognize the State of Israel, … and disarm terrorists.” Hamas said it “rejected” the call for it to disarm, adding it was continuing with the implementation of a new reconciliation deal and calling the issue an “internal Palestinian matter.” 
Last week, on Oct. 12, Hamas and Fatah signed a reconciliation deal to allow for the joint administration of the Gaza strip by the two parties. The agreement is scheduled to take effect on Dec. 1. Since a disputed election in 2006, and an armed conflict the following year, Fatah has controlled the West Bank and Hamas has controlled the Gaza strip. 
Hamas is listed as a terrorist organization by the U.N., U.S., European Union and U.K. Since 2005, it has functioned as a political party, and BBC reported its supporters view it as a “resistance movement.” Hamas, which seeks to have an internationally-recognized Palestinian state, published a policy document earlier this year that stated for the first time the boundaries of such a state should fall within the internationally recognized 1967 borders. Hamas’ policy document does not recognize the state of Israel, or give up its armed fight against Israel.
Sources: Al Jazeera, CNN",The Facts,,,Carles Puigdemont|Hamas|Jacinda Ardern|Mariano Rajoy|Nicolas Maduro|Taliban,Afghanistan|Catalonia|Europe|Latin America|Middle East|New Zealand|Spain|Venezuela,autonomy|independence|Islam|war,world_news,publish
43611,2017-10-23,US Secretary of State Tillerson tells Iranian forces to leave Iraq,"U.S. Secretary of State Rex Tillerson said Iranian-backed militias involved in the fight against the Islamic State (IS) in Iraq should “go home” and allow Iraq to “regain control” of the region, saying that the fight is “coming to a close.” Tillerson made the statement during a joint meeting with the leaders of Iraq and Saudi Arabia on Sunday. 
A senior U.S. official cited by Reuters later said that Tillerson was referring to the Popular Mobilization Forces (PMF) and the the Quds Force. The PMF, established in 2014 to fight IS, is a mostly Iraqi force that was trained and funded by Iran. The Quds Force is the foreign paramilitary and espionage branch of Iran’s Islamic Revolutionary Guards Corps (IRGC). The U.S. official said the “ideal” scenario would be for those militia fighters to either “go home” or “integrate into the Iraqi security forces.”
Earlier on Sunday, Tillerson attended an inaugural council meeting between Iraq and Saudi Arabia designed to coordinate their fight against IS and rebuild Iraqi territory affected by the conflict. Saudi King Salman, Saudi foreign minister Adel Jubeir and Iraqi Prime Minister Haider al-Abadi also attended the meeting. 
Tillerson said the council would help build Iraq’s private sector and increase foreign investment. The council agreed to reopen the office of chemical company Saudi Basic Industries Corp in Iraq and grant Saudi agriculture company SALIC an investment license.
The meeting was part of a six-day trip for Tillerson that includes visits to Pakistan, India and Switzerland.
Sources: Reuters, The Washington Post",The Facts,,arrest|election|Referendum,Andrej Babis|Luca Zaia|Rex Tillerson|Roberto Maroni|Shinzo Abe,Czech Republic|France|Iraq|Italy|Japan,conflict|politics|taxes|votes,world_news,publish
43614,2017-10-23,Italy’s Lombardy and Veneto vote for more autonomy in non-binding referendums,"Italy’s Lombardy and Veneto regions voted in support of greater autonomy in non-binding referendums on Sunday. The regions’ presidents said that 90 percent of voters approved of greater autonomy, BBC reported. Prior to the result, Lombardy leader Roberto Maroni said, “We remain inside the Italian nation with more autonomy,” and would “not for now” seek to become an independent country. Maroni described the vote as an effort to negotiate tax rates and other regional issues with Rome. 
Lombardy, which includes Milan, and Veneto, which includes Venice, account for about 30 percent of the country’s gross domestic product (GDP). Maroni and regional leader Luca Zaia of Veneto initiated the referendums. They claim the northern regions subsidize the country’s poorer southern regions. Maroni said Lombardy pays about €54 billion more in taxes to Rome than value it receives back, and said he wants to cut the taxes owed in half. Zaia said Rome should reimburse Veneto for its tax deficit, which she said amounts to €20 billion. 
Both leaders are part of the Northern League party, which has previously attempted secession from Italy. Five regions in Italy already have regional autonomy, including Sardinia, Sicily, and Friuli-Venezia. Italy’s constitution allows for referendums like Sunday’s.
Sources: BBC, CNN",The Facts,,arrest|election|Referendum,Andrej Babis|Luca Zaia|Rex Tillerson|Roberto Maroni|Shinzo Abe,Czech Republic|France|Iraq|Italy|Japan,conflict|politics|taxes|votes,world_news,publish
43617,2017-10-23,Czech president to name Andrej Babis as prime minister,"Czech President Milos Zeman said on Sunday he would name Andrej Babis prime minister after Babis’ ANO party won a minority the country’s parliamentary election on Saturday.
The Czech Statistics Office said ANO won 29.6 percent of the vote, and 78 of the 200 seats in the lower house of Parliament. According to AP, the conservative Civic Democrats came in second with 11.3 percent of the vote, and 25 seats. The Pirate Party came in third with 10.8 percent of the vote. The Freedom and Direct Democracy came in fourth place with 10.6 percent of the vote. The Social Democrats received 7.3 percent of the vote and the Christian Democrats won 5.8 percent.
Babis will need to form a coalition with other political parties to have a parliamentary majority. The Civic Democrats and two smaller parties, STAN and TOP09, have already said they would not form a coalition with ANO, according to Reuters. Three other parties, the Social Democrats, the Christian Democrats and the Pirate Party, have said they may form a coalition with ANO in parliament on the condition that Babis is not involved.

Babis, who was the government’s finance minister until May, is the county’s second-richest man, with an estimated networth of $4 billion. He owns two regional newspapers and a radio station. On October 9, Babis said he had been charged with fraud in a case involving a €2 million EU subsidy from 10 years ago. According to Reuters, Babis allegedly did not disclose ownership of a farm and conference center so that the properties could qualify for an EU subsidy for small businesses. Babis denies any wrongdoing.

President Zeman said he would meet Babis on Monday to discuss the position, without making the formal appointment.

Sources: AP, Reuters",The Facts,,arrest|election|Referendum,Andrej Babis|Luca Zaia|Rex Tillerson|Roberto Maroni|Shinzo Abe,Czech Republic|France|Iraq|Italy|Japan,conflict|politics|taxes|votes,world_news,publish
43620,2017-10-23,"Eight men charged in France for alleged plots against mosques, politicians","French authorities charged eight men for allegedly plotting to attack politicians and mosques, prosecutors in Paris announced on Saturday. Officials say the men are part of a “criminal terrorist conspiracy” formed by 21-year-old Logan Alexandre Nisin. He had been arrested in June after posting plans to attack various ethnic groups. The men who were charged on Saturday, aged 17 to 29, include three minors.

Investigators believe the men planned to extort money from business leaders and use it to buy weapons, according to an anonymous official cited by AP. The potential targets for attacks included mosques, politicians, “people of North African descent or black people” and “anti-fascist” activists, an AFP source said.

Police originally arrested 10 people on Tuesday; the prosecutor’s office said two of them, including Nisin's mother, have since been released. The media outlets didn’t provide a reason for the releases.
Sources: AFP, AP, France Télévisions Info",The Facts,,arrest|election|Referendum,Andrej Babis|Luca Zaia|Rex Tillerson|Roberto Maroni|Shinzo Abe,Czech Republic|France|Iraq|Italy|Japan,conflict|politics|taxes|votes,world_news,publish
43623,2017-10-24,"Tillerson visits Afghanistan, Iraq on Monday; to visit Pakistan Tuesday","U.S. Secretary of State Rex Tillerson visited Afghanistan and Iraq on Monday in unannounced visits. Tillerson flew in a C-17 military plane from Doha, Qatar to Bagram air base in Afghanistan, where he met with Afghan President Ashraf Ghani for about an hour. After the meeting, Tillerson told reporters there is a place for the “moderate voices among the Taliban” in the Afghan government if they renounce terrorism and violence, and are “committed to a stable prosperous Afghanistan.”
The U.S. currently has 9,500 troops stationed in Afghanistan, and will be deploying about 4,000 more.
In Baghdad, Tillerson met with Iraqi Prime Minister Haider al-Abadi. While in Qatar the previous day, Tillerson had said the U.S. “did not support the Kurdish independence referendum” in Iraq. He added, “We did not believe it was time [for the referendum] given that the battle to defeat [the Islamic State group (IS)] is still under way.” Tillerson said the Kurdish people have “unfulfilled expectations” and “rights that were promised them under the constitution,” and that he believed al-Abadi was committed to working with the Kurds to resolve these issues.
Tillerson is scheduled to visit Islamabad, the capital of Pakistan, on Tuesday. He said before the trip that he will be talking to Pakistani officials about “denying safe haven” to “terrorist organizations” and “extremists.”
Sources: The Washington Post, AP 1, AP 2",The Facts,,Medal of Honor|press conference|speech,Ashraf Ghani|Carles Puigdemont|Donald Trump|Haider al-Abadi|Jeff Sessions|Joseph Dunford|Mariano Rajoy|MS-13|Rex Tillerson|Taliban,Afghanistan|Africa|Catalonia|Europe|Iraq|Middle East|Niger|Pakistan|Spain|US|Washington,award|conflict|crime|drugs|gangs|justice|military|politics|terrorism|violence,world_news,publish
43628,2017-10-24,Congressional Medal of Honor awarded to retired Army Capt. Gary ‘Mike’ Rose,"On Monday, U.S. President Donald Trump awarded the Congressional Medal of Honor to retired Army Capt. Gary “Mike” Rose at the White House. Rose was a Green Beret medic during the Vietnam War who treated more than 60 wounded soldiers during a 1970 covert mission, Operation Tailwind, in Laos. According to NPR, the troops came under fire while they were being airlifted in by helicopter, and the attack continued when they were on the ground.
Rose was reportedly injured during his second day in Laos, when shrapnel from a rocket-propelled grenade explosion lodged into his back, leg and foot. When he was evacuated via helicopter on the fourth day, the helicopter came under fire and crashed a few miles away. According to USA Today, Rose then pulled other men from the wreckage and tended to the surviving soldiers’ wounds until another helicopter came to evacuate them. In addition to Rose, 136 U.S. soldiers as well as some South Vietnamese soldiers were involved in the covert operation. In total, three men died as a result of the mission.
After the battle, Rose was awarded the Distinguished Service Cross, the second highest award for valor after the Medal of Honor. Throughout his career, he has also received the Bronze Star, a Purple Heart and more than 12 other military awards. 
Rose, 69, said he considered the award “a collective medal” and that he wanted to “accept this in honor of all the men and women who fought in that era.”
Sources: USA Today, NPR",The Facts,,Medal of Honor|press conference|speech,Ashraf Ghani|Carles Puigdemont|Donald Trump|Haider al-Abadi|Jeff Sessions|Joseph Dunford|Mariano Rajoy|MS-13|Rex Tillerson|Taliban,Afghanistan|Africa|Catalonia|Europe|Iraq|Middle East|Niger|Pakistan|Spain|US|Washington,award|conflict|crime|drugs|gangs|justice|military|politics|terrorism|violence,world_news,publish
43631,2017-10-24,US Joint Chiefs general provides details on Niger attack,"On Monday, Chairman of the Joint Chiefs Gen. Joseph Dunford gave a press conference providing details surrounding the deaths of four U.S. soldiers attacked in Niger on Oct. 4. He said 12 U.S. Special Operations Task Force members were returning to their base from a reconnaissance mission, along with 30 Nigerian troops, when they came under attack from about 50 combatants from an IS-affiliated group. 
Dunford said the team requested support an hour after the attack began. A remotely piloted aircraft arrived “within minutes,” French Mirage jets arrived about an hour later, and French attack helicopters evacuated the dead and wounded some time after that. 
U.S. Sgt. La David Johnson went missing after the attack, and his body was recovered two days later. Joint Staff Director Lt. Gen. Kenneth F. McKenzie said last week that U.S., French and Nigerian troops “never left the battlefield” until they located Johnson. Dunford said the U.S. is investigating whether the U.S.-Nigerian team had deviated from its planned mission, and how Johnson had been separated from the other troops. 
According to Dunford, the U.S. has about 800 troops stationed in and around Niger to fight IS, Boko Haram and al Qaeda groups there.
Sources: CBS News, CNN",The Facts,,Medal of Honor|press conference|speech,Ashraf Ghani|Carles Puigdemont|Donald Trump|Haider al-Abadi|Jeff Sessions|Joseph Dunford|Mariano Rajoy|MS-13|Rex Tillerson|Taliban,Afghanistan|Africa|Catalonia|Europe|Iraq|Middle East|Niger|Pakistan|Spain|US|Washington,award|conflict|crime|drugs|gangs|justice|military|politics|terrorism|violence,world_news,publish
43634,2017-10-24,Sessions designates MS-13 gang as ‘priority’ for organized crime task force,"On Monday, U.S. Attorney General Jeff Sessions said he had designated the MS-13 gang as a “priority” for the Organized Crime Drug Enforcement Task Force (OCDETF), authorizing all lawful tools be used to investigate MS-13 activities. He spoke to the International Association of Chiefs of Police in Philadelphia, saying he had authorized the use of not just drug laws, but RICO (racketeering) laws, tax laws and firearm laws.
The OCDETF is a group composed of prosecutors from the Department of Justice and investigators from the DEA, FBI, IRS, Coast Guard and Postal Service. The “priority” designation enables local police investigating the gang to use federal funds to pay for wiretaps, overtime and interpreters.
MS-13, from the Spanish “La Mara Salvatrucha,” was started by Salvadoran immigrants in Los Angeles in the 1980s. Its leaders were deported and some of the leaders now reportedly operate out of El Salvador. Sessions said there “were more than 40,000 members worldwide, including 10,000 in the” U.S. MS-13 members have been convicted of crimes including robbery, juvenile prostitution, racketeering and murder.

Sources: Newsweek, ABC News",The Facts,,Medal of Honor|press conference|speech,Ashraf Ghani|Carles Puigdemont|Donald Trump|Haider al-Abadi|Jeff Sessions|Joseph Dunford|Mariano Rajoy|MS-13|Rex Tillerson|Taliban,Afghanistan|Africa|Catalonia|Europe|Iraq|Middle East|Niger|Pakistan|Spain|US|Washington,award|conflict|crime|drugs|gangs|justice|military|politics|terrorism|violence,world_news,publish
43637,2017-10-25,US auto industry forms coalition in support of NAFTA,"On Tuesday, a group of automaker associations, suppliers, and car dealers announced the formation of “Driving American Jobs,” a coalition whose purpose is to support the North American Free Trade Agreement (NAFTA). The group is backing an advertising campaign asking the White House not to withdraw from NAFTA. U.S. President Donald Trump has proposed the possibility of withdrawing from the deal and the U.S., Canada and Mexico are currently in discussions to renegotiate it. Trump said in a Fox Business Network interview on Sunday he believes the deal will “probably” be renegotiated.
The coalition is comprised of five vehicle manufacturer and dealer associations, some of which represent automakers such as General Motors, Ford, Toyota, Volkswagen and Hyundai. Jennifer Thomas, Vice President of Federal Affairs at the Alliance of Automobile Manufacturers, which is part the coalition, said that terminating NAFTA will lead to a reduced number of jobs in the industry and a decline in cars produced. The coalition's advertising campaign is estimated to cost more than $500,000 and run for four weeks, according to Bloomberg.
The U.S. Chamber of Commerce reported that since NAFTA came into effect in 1994, annual trade between the U.S., Canada and Mexico has increased 3.5-fold to $1.2 trillion.
Sources: Reuters, Bloomberg",The Facts,,investigation|sentence,Daniel Ortega|Donald Trump|Hillary Clinton|Rohingya|Rosario Murillo,Asia|Iran|Latin America|Myanmar|Nicaragua|United States,climate change|economy|international relations|NAFTA|nuclear energy|Paris Climate Agreement|refugees|sanctions|trade,world_news,publish
43640,2017-10-25,Nicaragua says it will join Paris climate agreement,"Nicaragua’s Vice President Rosario Murillo announced Monday the country would join the Paris climate agreement and that the necessary documents have been submitted to the United Nations. When the agreement was adopted in 2015 by 195 countries, Nicaragua declined to join. The country’s chief climate negotiator, Paul Oquist, said at the time the deal would not do enough to prevent a potential increase in global temperatures to three degrees Celsius above preindustrial levels.
In Monday’s statement, Murillo and Nicaraguan President Daniel Ortega said the “majority of both developed and developing states have undertaken the commitment to join” the Paris agreement, which, “despite not being the ideal agreement, is the only instrument that currently allows this unity of intentions and efforts.”
With Nicaragua’s decision to join the Paris accord, there are two countries that have not joined the agreement or have announced plans to leave it: the U.S. and Syria. President Donald Trump said in June the U.S. would withdraw from the deal.
Sources: Reuters, The New York Times",The Facts,,investigation|sentence,Daniel Ortega|Donald Trump|Hillary Clinton|Rohingya|Rosario Murillo,Asia|Iran|Latin America|Myanmar|Nicaragua|United States,climate change|economy|international relations|NAFTA|nuclear energy|Paris Climate Agreement|refugees|sanctions|trade,world_news,publish
43643,2017-10-25,US considering sanctions on Myanmar; withdraws assistance programs,"The U.S. State Department released a statement Monday saying it was considering imposing additional sanctions on Myanmar over the country’s treatment of its Rohingya people, a Sunni Muslim ethnic group. In addition, Myanmar military personnel involved in operations in Myanmar’s Rakhine state will no longer be eligible to participate in U.S. assistance programs.
The U.S. State Department said it was considering sanctions under the Global Magnitsky Human Rights Accountability Act, which authorizes the president to block or revoke visas of selected individuals, or impose economic sanctions on them if they are responsible for corruption, extrajudicial killings, torture or other human rights violations. The department is also looking into economic sanctions under the JADE Act, which states it is U.S. policy to hold individuals accountable who are responsible for the repression of peaceful political activity in Myanmar.
The U.S. already has an embargo on military sales with Myanmar and, since Aug. 25, has terminated travel waivers under the JADE Act for military officials. The State Department is also exploring international options for holding Myanmar accountable, including collaboration with the UN Human Rights Council.
More than 600,000 Rohingya refugees have left their homes and crossed the border into Bangladesh since late August, according to Bangladesh’s UN ambassador. The migration began after 12 people were killed in an attack on a Myanmar police post on Aug. 25. Since then, the Myanmar military has burned villages and killed Rohingya villagers, according to media reports.
Sources: BBC, US State Department, NPR",The Facts,,investigation|sentence,Daniel Ortega|Donald Trump|Hillary Clinton|Rohingya|Rosario Murillo,Asia|Iran|Latin America|Myanmar|Nicaragua|United States,climate change|economy|international relations|NAFTA|nuclear energy|Paris Climate Agreement|refugees|sanctions|trade,world_news,publish
43646,2017-10-25,Iran sentences person to death for providing information to Israeli intelligence agency,"Tehran prosecutor Abbas Jafari Dolatabadi announced Tuesday that Iran sentenced a person to death for providing “sensitive information about Iran’s military and nuclear sites” to Israeli intelligence agency Mossad “in return for money and residency in Sweden.” The information included details about Iranian nuclear and military scientists, two of whom were killed in bomb attacks in 2010, the Associated Press reported. Iran did not say when the verdict had been issued.
Dolatabadi said the convicted person gave Mossad information about some 30 Iranians involved in military and nuclear projects. At least four Iranian scientists were killed between 2010 and 2012, according to Reuters. Iran claimed the killings were part of a plan to sabotage its nuclear program.
Dolatabadi did not name the convicted person in his announcement, but Amnesty International said Monday that Ahmadreza Djalali, an Iranian doctor who lives in Sweden and has taught there, had been sentenced to death on espionage charges in Iran.
Sources: AP, Reuters",The Facts,,investigation|sentence,Daniel Ortega|Donald Trump|Hillary Clinton|Rohingya|Rosario Murillo,Asia|Iran|Latin America|Myanmar|Nicaragua|United States,climate change|economy|international relations|NAFTA|nuclear energy|Paris Climate Agreement|refugees|sanctions|trade,world_news,publish
43649,2017-10-26,Kenya presidential election to move forward Thursday,"On Wednesday, Kenya’s Supreme Court Chief Justice David Maraga announced that a petition to delay the country’s presidential election could not be heard by the court, as only two of the seven justices were available for a hearing. One justice was on sick leave, one missed a return flight to Nairobi, another was absent as her bodyguard was shot on Tuesday, and two were “unable to come to court” for unspecified reasons. 
The petition, filed by activists Tuesday, argued that the electoral commission was not in a position to conduct a free and fair vote. After the Supreme Court’s announcement, Kenya’s Independent Electoral and Boundaries Commission said the election would go ahead Thursday as planned.
The Supreme Court annulled the result of an Aug. 8 presidential election in a 4-2 vote, saying there had been “irregularities and illegalities.” Opposition leader Raila Odinga, who came in second to current President Uhuru Kenyatta, has withdrawn from the new election and asked his supporters to boycott Thursday’s vote, which he wants to postpone. Kenyatta has called the justices who annulled the August vote “crooks.”
Sources: BBC, CNN",The Facts,,vote,Raila Odinga|TSA|Uhuru Kenyatta,Africa|Iraq|Israel|Jerusalem|Kenya|Kurdistan|Middle East|US,banking|consumer rights|democracy|election|independence|legislation|politics|security|settlements|travel,world_news,publish
43652,2017-10-26,US imposes new security measures on inbound international flights,"On Wednesday, the U.S. Transportation Security Administration (TSA) announced that all incoming flights to the U.S. would be subject to new security measures starting Thursday. A TSA spokesperson said the new rules would include “heightened screening of personal electronic devices,” and “stricter” security procedures around planes and in airport terminals. The rules will affect around 2,100 flights arriving in the U.S. each day.  
The new measures were announced in June, and airlines were given 120 days to implement them. The rules are designed to avoid a general in-cabin ban on laptops, following a similar temporary ban for eight countries in North Africa and the Middle East that was suspended in July. That ban had been issued due to concerns that explosives could be hidden in laptops. Airlines have since begun to use CT scanners to inspect personal electronics devices just before passengers board the plane.
Airlines have proposed several ways to carry out the new measures, including questionnaires, inspections of personal electronic devices and short interviews with airline staff, either at check-in or at the boarding gate.
Sources: Reuters, AP",The Facts,,vote,Raila Odinga|TSA|Uhuru Kenyatta,Africa|Iraq|Israel|Jerusalem|Kenya|Kurdistan|Middle East|US,banking|consumer rights|democracy|election|independence|legislation|politics|security|settlements|travel,world_news,publish
43655,2017-10-26,Israel approves 176 new homes in East Jerusalem settlement,"On Wednesday, Jerusalem Mayor Nir Barkat’s office issued permits for 176 new housing units in the Nof Zion settlement in East Jerusalem, which Israel has occupied since 1967. Around 200,000 Jewish settlers and 370,000 Palestinians live there. The expansion will almost triple the size of the settlement, which is surrounded by the Palestinian neighborhood of Jabal Mukaber. 
Israel annexed the territory in 1980, an action that has not been recognized by the international community. Israel considers all of Jerusalem to be its capital, and the Palestinians seek to make East Jerusalem the capital of a future independent Palestinian state. These competing claims to East Jerusalem are one of the disputes in the Israeli-Palestinian conflict.
The Associated Press also reported that Israel’s cabinet minister for transportation and intelligence announced that a ministerial committee would vote on a proposal to expand Jerusalem’s municipal area to include “a number” of West Bank settlements. This would increase the proportion of Jewish settlers to Palestinians living in the city.
Sources: AP, BBC",The Facts,,vote,Raila Odinga|TSA|Uhuru Kenyatta,Africa|Iraq|Israel|Jerusalem|Kenya|Kurdistan|Middle East|US,banking|consumer rights|democracy|election|independence|legislation|politics|security|settlements|travel,world_news,publish
43658,2017-10-26,US Senate repeals rule banning ‘forced arbitration’ clauses,"The U.S. Senate voted Tuesday night to repeal a rule banning banks and credit card companies from using “forced arbitration” clauses in their products. Companies use such clauses to resolve disputes outside the court system. The Senate voted 51-50 to repeal the rule, with Vice President Mike Pence casting the deciding vote. The House approved the same resolution in a 231-190 vote in July, and it will now go to President Donald Trump for signature.
The arbitration clauses stipulate that customers cannot join any class action suits to settle disputes, but instead have to take their complaint to closed-door arbitration. Reuters reports that critics of the rule have said class-action suits, in which plaintiffs join together, only benefit trial lawyers and that arbitration generally wins larger settlements for customers. Supporters say “forced arbitration” removes the customer’s right to sue, which is incorporated in the U.S. Constitution, and puts banks in control of the process instead of customers.
Sources: Reuters, CNN",The Facts,,vote,Raila Odinga|TSA|Uhuru Kenyatta,Africa|Iraq|Israel|Jerusalem|Kenya|Kurdistan|Middle East|US,banking|consumer rights|democracy|election|independence|legislation|politics|security|settlements|travel,world_news,publish
43661,2017-10-27,Iraq PM rejects Kurdish call for independence talks,"On Thursday, Iraq’s Prime Minister Haider al-Abadi said the government would only accept a “cancellation” of last month’s Kurdish independence referendum, in response to the Kurdistan Regional Government’s (KRG) offer to “freeze” the vote and start negotiations with Iraq. “We accept only the cancellation of the referendum and the adherence to the constitution,” Abadi said on Thursday. A day earlier, on Wednesday, the KRG had said a “freeze” of the referendum would “prevent further violence.”
The Iraqi central government in Baghdad has said the Sept. 25 independence vote, in which more than 90 percent of voters in the Kurdish areas supported independence, was illegal. Since the ballot, Iraqi forces have retaken several areas in northern Iraq, including the provincial capital Kirkuk, which had been held by Kurdish troops since 2014. The Kurdistan Region Security Council said that 150,000 people have been displaced from their homes during the Iraqi campaign.
The Kurdistan Region is an area in Iraq with a semi-autonomous regional government. The Kurds are an ethnic population with their own language, and comprise about 30 million people residing in Middle Eastern countries like Iraq, Turkey and Syria.

Sources: CNN, BBC",The Facts,,budget resolution|election|Sakharov Prize|speech,Congress|Donald Trump|European Union|Haider al-Abadi|John F. Kennedy|Raila Odinga|Uhuru Kenyatta,Africa|Iraq|Kenya|Latin America|Middle East|US|Venezuela,conflict|economy|health|human rights|independence|opioids|politics|protests|violence,world_news,publish
43664,2017-10-27,US House of Representatives approves 2018 budget resolution,"The U.S. House of Representatives passed a 2018 budget resolution on Thursday. The resolution was adopted by a vote of 216 to 212, with all Democratic and some Republican representatives voting against the measure. The budget resolution includes rules that will allow the Senate to adopt new tax reforms by a simple majority, instead of the 60 votes normally required. The Senate approved the resolution in a 51-49 vote last week.
A budget resolution is not the same as the spending bills that funds the government. The resolution is nonbinding and does not have to be signed by President Donald Trump. The resolution functions as an outline for congressional action on budgetary matters, such as spending priorities and budget totals for categories of expenses.  
More information of the budget outline is available here. 
Sources: CNN, Fox News",The Facts,,budget resolution|election|Sakharov Prize|speech,Congress|Donald Trump|European Union|Haider al-Abadi|John F. Kennedy|Raila Odinga|Uhuru Kenyatta,Africa|Iraq|Kenya|Latin America|Middle East|US|Venezuela,conflict|economy|health|human rights|independence|opioids|politics|protests|violence,world_news,publish
